,customer_id,subscriber_id,tariff_model,arpa_2024,arpa_2023,revenue_2023,revenue_2024,active_discount,data_usage_(MB),voice_usage,roaming_usage,sms_usage,roaming_option_flag,roaming_option_potential,contract,duration_Type,fees_to_charge,contract_start_date,tariff_model_price,price_overshoot,oib,old
0,106,10600,m,33.66,37.24,446.88,403.91999999999996,18.84,3557,4068,339,426,Y,81,Y,12,16,1.2.2024,25,0.3463999999999998,94517771016,10600
1,106,10618,xl,57.49,96.62,1159.44,689.88,10.15,3524,212,431,700,N,94,N,6,6,1.2.2024,65,-0.11553846153846148,94517771016,10618
2,106,10614,m,33.57,36.21,434.52,402.84000000000003,8.13,5894,3541,330,276,N,43,N,6,4,1.2.2024,25,0.3428,94517771016,10614
3,106,10635,l,39.02,50.97,611.64,468.24,20.26,792,937,134,53,Y,40,Y,12,4,1.2.2024,40,-0.024499999999999966,94517771016,10635
4,106,10626,l,33.55,40.44,485.28,402.59999999999997,6.55,8889,1771,125,656,Y,84,N,12,12,1.2.2024,40,-0.16125000000000012,94517771016,10626
5,106,10610,xl,54.59,83.71,1004.52,655.08,19.47,3919,1231,414,569,N,92,Y,24,0,1.2.2024,65,-0.1601538461538461,94517771016,10610
6,106,10605,s,21.71,19.51,234.12,260.52,12.27,3183,443,96,901,Y,78,Y,24,1,1.2.2024,15,0.44733333333333336,94517771016,10605
7,106,10611,s,12.37,16.52,198.24,148.44,12.75,593,2567,194,454,N,57,N,6,9,1.2.2024,15,-0.17533333333333334,94517771016,10611
8,106,10612,l,57.31,47.23,566.76,687.72,11.42,9430,4615,73,268,N,26,Y,24,12,1.2.2024,40,0.43274999999999997,94517771016,10612
9,106,10621,xl,73.53,78.4,940.8000000000001,882.36,17.91,7459,4836,394,959,N,94,Y,12,21,1.2.2024,65,0.13123076923076926,94517771016,10621
10,106,10625,l,56.02,44.8,537.5999999999999,672.24,23.8,3792,2981,169,884,Y,92,Y,12,22,1.2.2024,40,0.4005000000000001,94517771016,10625
11,106,10601,s,16.18,12.66,151.92000000000002,194.16,10.6,8294,3845,268,786,N,80,Y,6,19,1.2.2024,15,0.07866666666666666,94517771016,10601
12,106,10620,m,26.24,20.29,243.48,314.88,4.63,2996,2857,344,340,N,3,Y,24,5,1.2.2024,25,0.049599999999999866,94517771016,10620
13,106,10604,xl,54.55,55.94,671.28,654.5999999999999,5.93,5223,704,476,664,N,69,N,12,4,1.2.2024,65,-0.16076923076923078,94517771016,10604
14,106,10623,l,39.09,35.67,428.04,469.08000000000004,0.3,8929,1405,21,479,N,86,Y,12,14,1.2.2024,40,-0.022749999999999937,94517771016,10623
15,106,10619,xl,74.31,97.02,1164.24,891.72,1.63,3918,686,438,128,Y,72,N,12,5,1.2.2024,65,0.14323076923076927,94517771016,10619
16,106,10631,xl,94.17,90.85,1090.1999999999998,1130.04,12.44,4047,487,125,768,Y,69,Y,6,17,1.2.2024,65,0.4487692307692308,94517771016,10631
17,106,10628,m,36.19,20.81,249.71999999999997,434.28,5.82,4760,1301,439,714,N,18,N,24,17,1.2.2024,25,0.4476,94517771016,10628
18,106,10602,xl,57.51,62.99,755.88,690.12,5.71,9029,3696,118,864,Y,32,Y,6,14,1.2.2024,65,-0.11523076923076925,94517771016,10602
19,106,10629,l,42.61,42.48,509.76,511.32,18.72,4742,2920,263,693,Y,76,N,6,13,1.2.2024,40,0.06525000000000003,94517771016,10629
20,106,10617,s,17.28,21.9,262.79999999999995,207.36,15.85,4578,4711,74,646,Y,65,N,6,16,1.2.2024,15,0.15200000000000014,94517771016,10617
21,106,10633,l,44.65,33.98,407.76,535.8,7.32,9469,3544,364,795,N,90,Y,12,10,1.2.2024,40,0.11624999999999996,94517771016,10633
22,106,10603,s,14.89,18.22,218.64,178.68,22.42,9614,199,217,356,Y,82,Y,24,8,1.2.2024,15,-0.007333333333333303,94517771016,10603
23,106,10632,l,46.16,40.69,488.28,553.92,9.33,500,2286,195,952,N,99,N,24,19,1.2.2024,40,0.15399999999999991,94517771016,10632
24,106,10615,l,46.35,46.3,555.5999999999999,556.2,9.67,6104,4301,194,275,Y,15,Y,12,23,1.2.2024,40,0.15874999999999995,94517771016,10615
25,106,10627,s,14.86,13.56,162.72,178.32,21.41,5882,714,422,381,Y,85,Y,24,18,1.2.2024,15,-0.009333333333333416,94517771016,10627
26,106,10622,xl,68.43,74.87,898.44,821.1600000000001,3.84,4985,281,235,243,N,79,Y,6,15,1.2.2024,65,0.0527692307692309,94517771016,10622
27,106,10630,s,18.06,19.3,231.60000000000002,216.71999999999997,16.8,4176,4432,105,263,Y,48,Y,24,5,1.2.2024,15,0.20399999999999996,94517771016,10630
28,106,10616,xl,52.77,83.69,1004.28,633.24,20.34,3044,162,394,446,N,64,N,24,7,1.2.2024,65,-0.18815384615384612,94517771016,10616
29,106,10607,l,54.59,44.91,538.92,655.08,20.67,3008,3925,83,958,Y,7,Y,6,0,1.2.2024,40,0.36475000000000013,94517771016,10607
30,106,10624,xl,69.26,76.67,920.04,831.1200000000001,3.02,8264,216,229,817,Y,62,Y,6,17,1.2.2024,65,0.06553846153846155,94517771016,10624
31,106,10634,m,36.66,25.25,303.0,439.91999999999996,4.01,7874,517,388,962,Y,71,Y,24,7,1.2.2024,25,0.4663999999999999,94517771016,10634
32,106,10608,m,21.34,32.19,386.28,256.08,6.18,5091,726,11,896,N,30,Y,24,22,1.2.2024,25,-0.14639999999999997,94517771016,10608
33,106,10606,m,31.77,29.26,351.12,381.24,7.61,9129,3185,101,837,N,8,Y,12,5,1.2.2024,25,0.27079999999999993,94517771016,10606
34,106,10613,s,18.97,15.08,180.96,227.64,5.01,4826,4700,424,712,Y,19,Y,6,10,1.2.2024,15,0.2646666666666666,94517771016,10613
35,106,10609,l,42.3,44.78,537.36,507.59999999999997,8.44,2129,4877,40,238,N,51,Y,24,1,1.2.2024,40,0.057499999999999885,94517771016,10609
36,152,15246,l,52.64,35.07,420.84000000000003,631.6800000000001,15.16,4539,1543,180,409,Y,7,N,24,19,1.2.2024,40,0.31600000000000006,77780923892,15246
37,152,15271,m,36.4,36.77,441.24,436.79999999999995,19.91,3883,2655,252,554,Y,86,N,12,6,1.2.2024,25,0.45599999999999996,77780923892,15271
38,152,15228,xl,55.66,55.88,670.5600000000001,667.92,5.53,1915,1921,78,829,N,11,Y,6,7,1.2.2024,65,-0.14369230769230779,77780923892,15228
39,152,15289,xl,54.51,93.46,1121.52,654.12,22.12,8646,3567,476,423,N,81,N,24,24,1.2.2024,65,-0.16138461538461546,77780923892,15289
40,152,15245,m,22.81,26.13,313.56,273.71999999999997,2.39,5440,1391,281,409,N,90,N,24,1,1.2.2024,25,-0.08760000000000001,77780923892,15245
41,152,15227,l,44.77,49.99,599.88,537.24,6.35,2010,908,328,255,Y,83,Y,6,23,1.2.2024,40,0.11925000000000008,77780923892,15227
42,152,15291,s,20.94,16.15,193.79999999999998,251.28000000000003,5.83,8775,2967,396,735,Y,80,Y,12,3,1.2.2024,15,0.39600000000000013,77780923892,15291
43,152,15231,s,22.15,17.33,207.95999999999998,265.79999999999995,7.51,5062,2486,185,456,N,15,Y,6,24,1.2.2024,15,0.47666666666666657,77780923892,15231
44,152,15258,s,14.6,15.34,184.07999999999998,175.2,21.47,7913,3263,44,833,N,87,N,12,14,1.2.2024,15,-0.026666666666666727,77780923892,15258
45,152,15212,l,54.17,50.92,611.04,650.04,6.12,8388,1598,240,244,N,17,Y,24,0,1.2.2024,40,0.35424999999999995,77780923892,15212
46,152,15277,l,53.79,55.64,667.6800000000001,645.48,3.48,7322,3162,149,852,N,32,Y,6,3,1.2.2024,40,0.3447499999999999,77780923892,15277
47,152,15292,m,24.32,20.64,247.68,291.84000000000003,10.17,2174,1397,259,663,Y,87,N,24,11,1.2.2024,25,-0.027200000000000002,77780923892,15292
48,152,15218,l,42.97,38.78,465.36,515.64,6.26,743,2681,94,972,N,17,Y,12,3,1.2.2024,40,0.07424999999999993,77780923892,15218
49,152,15286,xl,68.01,92.84,1114.08,816.1200000000001,19.25,9137,1224,134,82,N,37,N,24,22,1.2.2024,65,0.04630769230769238,77780923892,15286
50,152,15242,xl,75.97,74.19,890.28,911.64,0.01,8878,4066,465,526,N,16,Y,6,7,1.2.2024,65,0.16876923076923078,77780923892,15242
51,152,15214,s,13.65,15.59,187.07999999999998,163.8,18.18,8904,1233,92,255,N,47,N,24,4,1.2.2024,15,-0.08999999999999997,77780923892,15214
52,152,15259,l,46.48,53.14,637.6800000000001,557.76,0.81,3096,4532,466,215,Y,35,Y,6,17,1.2.2024,40,0.16199999999999992,77780923892,15259
53,152,15278,m,27.17,26.54,318.48,326.04,12.89,3047,4554,36,336,Y,19,Y,6,3,1.2.2024,25,0.08679999999999999,77780923892,15278
54,152,15240,l,45.54,35.93,431.15999999999997,546.48,8.97,1557,4631,374,461,Y,56,N,24,10,1.2.2024,40,0.13850000000000007,77780923892,15240
55,152,15244,m,23.52,31.16,373.92,282.24,19.02,7092,4040,482,685,N,1,N,24,2,1.2.2024,25,-0.05920000000000003,77780923892,15244
56,152,15250,xl,71.71,68.26,819.1200000000001,860.52,22.87,6209,3093,282,421,Y,64,N,6,10,1.2.2024,65,0.10323076923076924,77780923892,15250
57,152,15275,l,51.17,50.74,608.88,614.04,24.09,1729,4616,199,359,Y,9,N,24,21,1.2.2024,40,0.27925,77780923892,15275
58,152,15247,s,17.23,21.1,253.20000000000002,206.76,15.69,3847,4084,23,702,N,56,Y,6,3,1.2.2024,15,0.14866666666666672,77780923892,15247
59,152,15293,m,35.33,36.07,432.84000000000003,423.96,3.0,5148,2003,283,694,N,22,N,24,7,1.2.2024,25,0.4132,77780923892,15293
60,152,15287,s,12.92,16.06,192.71999999999997,155.04,18.24,6619,2038,455,110,Y,32,Y,6,8,1.2.2024,15,-0.13866666666666672,77780923892,15287
